client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518040.mp3	Po nečekané smrti svého otce se stal jeho následníkem ve věku čtyř let.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518041.mp3	Početná řada spoluprací s jinými hudebníky se na album nedostala.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518042.mp3	Za druhé světové války obec okupovali nacisté.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518043.mp3	Mimo zemědělství se mohou uplatnit také v komunálních službách nebo v zahradnictví.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518044.mp3	V podkroví nad schodištěm je malý pokoj.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518045.mp3	Zkušení piloti obvykle kombinují obě možnosti.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518046.mp3	Narodil se do hornické rodiny v Dubí u Kladna.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518047.mp3	Vystudoval herectví na Státní konzervatoři.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518048.mp3	V Hollywoodu bylo dominantním studiem s vysokým postavením.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518049.mp3	Soutěže se účastnil i tým Škoda Motorsport.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518050.mp3	Jde o poměrně rozšířená ložiska.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518051.mp3	Byl také členem ředitelství Karlovarské spořitelny.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518052.mp3	Je součástí Chráněné krajinné oblasti Bílé Karpaty.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518053.mp3	Hlasoval jsem tedy pro zprávu v celém jejím rozsahu.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518054.mp3	Zachoval si i post předsedy poslaneckého klubu občanských demokratů.	0	0	fifties	male			cs	
795025e848d7d3403f36c4d4b9af205f68f0cac194b3597451d1833e35cfb76567e9487d83089e35e07f0a2dcfa03837f1609cb3b2e5b1ce798a428992b3e173	common_voice_cs_38518055.mp3	Jinak je však situace v Ázerbájdžánu více než znepokojivá.	0	0	fifties	male			cs	
